HR052,2000  kg                      ,A22A28
HR057,8.000 kg,B22B23
HR060,5.000 kg,B24B25
HR062,5.000 kg,B04B07
HR065,DEMAG 8T,B10B21
HR069,5.000 kg,B26B27
HR070,VDB  3.2T,F31
HR071,VDB  2.5T,F29F30
HR072,VDB  5T,F29F30
HR073,DEMAG 8T,E10E15
HR074,DEMAG 8T,E08E13
HR075,DEMAG 8T,E00E03
HR078,5.000 kg,A20A13
HR081,5.000 kg,B20B21
HR086,3.000 kg,A14A21
HR097,500 kg                        -TBD-,A22A28
HR122,8.000 kg,B10B11
HR150,VB 10000kg,B22B23
HR158,VB 5000kg,E00E01
HR159,VB 5000kg,E08E17
HR174,5.000 kg,E08E17
HR184,5.000 kg,F32F36
HR200,1.000 kg,A22A28
HR205,1.000 kg,A07A11
HR223,ROSENGARDE 5000kg,F12
HR224,ROSENGARDE 6300kg,X03X04
HR225,ROSENGARDE 5000kg,A14A21
HR228,DEMAG 16T,B35B13
HR229,8000 kg,A33A40
HR230,5000 kg,A42A46
HR231,ABUS 10T,A31
HR232,DEMAG 500kg,F32
HR233,"ABUS 3,2T ",B13B18
HR234,"ABUS 3,2T  ",B13B18
HR235,"ABUS 3,2T  ",B13B18
HR236,"ABUS 3,2T",A13
HR237,ABUS 6.3T (staalmagazijn),X04
HR238,ABUS 5T (waskabine),
HR239,ABUS Rolbrug 5000kg,
HR241,ABUS Rolbrug 8000kg,A13A20
HR243,ABUS Rolbrug 1000kg,G17
HR244,ABUS Rolbrug 5000kg,F06/G52
HR245,ABUS Rolbrug 8000kg,B13/B18
HR246,ABUS Rolbrug 10000 kg,G54/G58
HR247,ABUS Rolbrug 6300 kg,F28/F30
HR248,ABUS 6000 kg,G54/G58
HR249,ABUS 10000 kg,G54/G58
HR250,ABUS 8000 kg,G54/G58
HR251,ABUS 16000 kg,X01
HR252,ABUS 5000 kg,B01/B32
HR253,ABUS 8000 kg,B01/B33
HR254,ABUS 8000 kg,B09/B33
HR255,ABUS 10000 kg,B09/B34
HR256,ABUS 10000 kg,B11/B34
HS001,SIEGERT(R002),G17
HS002,SIEGERT(D041),G23
HS003,SIEGERT(R002),G17
HS004,SIEGERT(D040),G21
HS005,SIEGERT(D041),G23
HS006,SIEGERT(R010),G16
HS007,SIEGERT(F065),G19
HS008,TOPAL,
HT001,TIRFOR 1000kg,
HT002,TIRFOR 3000kg,
HT003,RILLEY 2000kg,
HT004,RILLEY 2000kg,
HT005,RILLEY 2000kg,
HT006,REMA 3000kg,
HT007,REMA 3000kg,
HT008,CM 1500kg,
HT009,CM 1500kg,
HT010,CM 750kg,
I001,SCHLICK Straalmachine,E00
I003,KARCHER,G48
I004,KARCHER,
I005,LABOREX waskabine,C001
I006,KARCHER,
I008,KARCHER,D03
I009,KARCHER,D03
I010,Wascabine SEMMELROTH,B03
I011,WASKABINE KERMAD 8t,E01
I013,LABOREX waskabine RT,F27
I020,FILTERWAGEN,SME
I025,WIELAND stofzuiger,A06
I026,VEEGMACHINE DULEVO,A42
I028,DELTA NEW,
I030,NILFISK,D03
I031,NILFISK,A17
I032,NUMATIC stof- en waterzuiger,F00F05
I033,NUMATIC stof- en waterzuiger,A36
I034,NILFISK,X00
I035,DELTA NEW,D04
I036,VENTILATOR SUPER COBRA,
I037,NILFISK,X00
I038,NILFISK,A27
I039,WIRBEL,A30
I040,WIRBEL,A14
I041,WIRBEL,
I042,WIRBEL,
I043,NILFISK Shampoo,
I044,NILFISK,
I045,NILFISK,B27
I046,NILFISK,B02
I047,NILFISK,B20
I049,NILFISK,
I050,NILFISK,
I051,NILFISK,
I052,NILFISK,B18
I053,NILFISK,
I054,FLOORPULL stof-en waterzuiger,
I055,FLOORPULL stof- en waterzuiger,
I056,TOSEL stof- en waterzuiger,
I057,TOSEL stof- en waterzuiger,F14
I058,TOSEL stof- en waterzuiger,
I059,TOSEL stof-en waterzuiger,
I060,CITIN schrob-en boenmachine,A42
I061,SOFRAPER  spaan-en vloeistof- zuiger,
I062,MATZEK  zuigwagen,
I063,TOSEL stof- en waterzuiger,
I065,FLOORPULL  stof-en waterzuiger,
I066,TOSEL  stof-en waterzuiger,B04
I067,MATZEK  zuigwagen,D15
I068,TOSEL  stof-en waterzuiger,B04
I070,PFK,A..
I071,PFK,A02
I072,PFK,B07
I073,PFK,A..
I074,PFK,F38
I081,PLYMOTH  lasdampafzuiger,D07
I082,ELOSTA  luchtreiniger,F10
I083,WELDEX  luchtfilter,A29
I084,CORAL  stofafzuiging,D04
I085,TRION  luchtreiniger,F15
I086,WELDEX  ventilator,B06
I087a,TEPCON luchtfilter,D07
I087b,TEPVON luchtfilter,D07
I088,ELOSTA  luchtreiniger,F14
I089,TRION  luchtreiniger                                             ( R080),G14
I090,FILTERMIST,
I090a,FILTERMIST,G20
I090b,FILTERMIST,A14
I090c,FILTERMIST,G21
I090e,FILTERMIST   (D091),G25
I091,ALFA SYSTEM afzuiginstallatie,A..
I092,MOLTER  olienevelafzuiger,G13
I093,MOLTER olienevelafzuiger,A17
I094,DONALDSON olienevelafzuiger   (D076),G05
I095,Afzuiginstallatie keuken,D13
I096,NEDERMAN  lasdampafzuiging,D10
I097a,DONALDSON olienevelafzuiging  (A067),A22
I097b,DONALDSON olienevelafzuiging  (A068),A26
I097c,DONALDSON olienevelafzuiging (D093),G21
I097d,DONALDSON olienevelafzuiging  (D098),G18
I098,DONALDSON olienevelafzuiging (D097),G27
I099,DONALDSON olienevelafzuiging  ( TBD kwam van F49),
I100,DONALDSON olienevelafzuiging (F049),G13
I101,DONALDSON olienevelafzuiging,
I102,DONALDSON olienevelafzuiging (A065),A20
I103,DONALDSON olienevelafzuiging,
I104,DONALDSON olienevelafzuiging (A069),
I105,DONALDSON olienevelafzuiging (D079),G07
I106,DONALDSON olienevelafzuiging (D068+D069),G37
I107,DONALDSON olienevelafzuiging (F40),G38
I108,DONALDSON olienevelafzuiging (R61=weg)  TBD WK42-2006,F14
I109,DONALDSON olienevelafzuiging (R53+weg)  TBD WK42-2006,F14
I110,TORIT olienevelafscheider    (D090),A41
I111,TORIT olienevelafscheider    (D096),A41
I112,TORIT olienevelafscheider   (R059=weg)      TBD WK42-2006,F12
I113,TORIT olienevelafscheider    (R058=weg)     TBD WK42-2006,F12
I114,TORIT olienevelafscheider    (A070),A45
I115,TORIT olienevelafscheider    (A071),A37
I151,NUMATIC stof-en waterzuiger,B25
I152,CFM stof-en waterzuiger,A22
I153,CFM stof-en waterzuiger,A27
I154,CFM stof-en waterzuiger,
I155,CFM stof-en waterzuiger,A26
I156,CFM stof-en waterzuiger,A27
I157,GESCO stofzuiger,D06
I158,CFM stof-en waterzuiger,
I159,CFM stof-en waterzuiger,
I160,CFM stof-en waterzuiger,
I161,Omgebouwde zuigkar,
I162,CFM waterzuiger,F26
I163,CFM stof-en waterzuiger,
I164,CFM stof-en waterzuiger,
I165,NUMATIC  stof-en waterzuiger,
I166,CFM stof-en waterzuiger      (aan B080),B080
I167,CFM stof-en waterzuiger,A23
I168,CFM stof-en waterzuiger,A25
I169a,Stofzuiger KARCHER,
I170,CFM stof-en waterzuiger,
I171,CFM stof-en waterzuiger,Service
I172,PR0370  stofzuiger,
I173,PR0370  stofzuiger,
I174,CFM stof-en waterzuiger,
I175,PR0370  stofzuiger,
I176,GESCO stof-en waterzuiger,
I177,CFM stof-en waterzuiger,
I178,CFM stof-en waterzuiger,
I179,CFM stof-en waterzuiger,
I180,CFM stof-en waterzuiger,
